ccode,scode,country,year,scoup1,atcoup2,pcoup3,apcoup4,agcoup,foroutex,reboutex,assassex,resignex
700,AFG,Afghanistan,1946,0,0,0,0,0,0,0,0,0
339,ALB,Albania,1946,0,0,0,0,0,0,0,0,0
160,ARG,Argentina,1946,0,0,0,0,0,0,0,0,0
900,AUL,Australia,1946,0,0,0,0,0,0,0,0,0
305,AUS,Austria,1946,0,0,0,0,0,0,0,0,0
211,BEL,Belgium,1946,0,0,0,0,0,0,0,0,0
760,BHU,Bhutan,1946,0,0,0,0,0,0,0,0,0
145,BOL,Bolivia,1946,0,0,0,0,0,0,1,0,0
140,BRA,Brazil,1946,0,0,0,0,0,0,0,0,0
355,BUL,Bulgaria,1946,0,0,0,0,0,0,0,0,0
20,CAN,Canada,1946,0,0,0,0,0,0,0,0,0
155,CHL,Chile,1946,0,0,0,0,0,0,0,0,0
710,CHN,China,1946,0,0,0,0,0,0,0,0,0
100,COL,Colombia,1946,0,0,0,0,0,0,0,0,0
94,COS,Costa Rica,1946,0,0,0,0,0,0,0,0,0
40,CUB,Cuba,1946,0,0,0,0,0,0,0,0,0
315,CZE,Czechoslovakia,1946,0,0,0,0,0,0,0,0,0
390,DEN,Denmark,1946,0,0,0,0,0,0,0,0,0
42,DOM,Dominican Republic,1946,0,0,0,0,0,0,0,0,0
130,ECU,Ecuador,1946,0,0,0,0,0,0,0,0,0
651,EGY,Egypt,1946,0,0,0,0,0,0,0,0,0
530,ETH,Ethiopia,1946,0,0,0,0,0,0,0,0,0
375,FIN,Finland,1946,0,0,0,0,0,0,0,0,0
220,FRN,France,1946,0,0,0,0,0,0,0,0,0
265,GDR,Germany East,1946,0,0,0,0,0,0,0,0,0
260,GFR,Germany West,1946,0,0,0,0,0,0,0,0,0
350,GRC,Greece,1946,0,0,0,0,0,0,0,0,0
90,GUA,Guatemala,1946,0,0,0,0,0,0,0,0,0
41,HAI,Haiti,1946,1,0,0,0,0,0,0,0,0
91,HON,Honduras,1946,0,0,0,0,0,0,0,0,0
310,HUN,Hungary,1946,0,0,0,1,0,0,0,0,0
850,INS,Indonesia,1946,0,0,0,0,0,0,0,0,0
205,IRE,Ireland,1946,0,0,0,0,0,0,0,0,0
630,IRN,Iran,1946,0,0,0,0,0,0,0,0,0
645,IRQ,Iraq,1946,0,0,0,0,0,0,0,0,0
325,ITA,Italy,1946,0,0,0,0,0,0,0,0,0
663,JOR,Jordan,1946,0,0,0,0,0,0,0,0,0
740,JPN,Japan,1946,0,0,0,0,0,0,0,0,0
450,LBR,Liberia,1946,0,0,0,0,0,0,0,0,0
660,LEB,Lebanon,1946,0,0,0,0,0,0,0,0,0
212,LUX,Luxembourg,1946,0,0,0,0,0,0,0,0,0
70,MEX,Mexico,1946,0,0,0,0,0,0,0,0,0
712,MON,Mongolia,1946,0,0,0,0,0,0,0,0,0
790,NEP,Nepal,1946,0,0,0,0,0,0,0,0,0
920,NEW,New Zealand,1946,0,0,0,0,0,0,0,0,0
93,NIC,Nicaragua,1946,0,0,0,0,0,0,0,0,0
385,NOR,Norway,1946,0,0,0,0,0,0,0,0,0
210,NTH,Netherlands,1946,0,0,0,0,0,0,0,0,0
698,OMA,Oman,1946,0,0,0,0,0,0,0,0,0
95,PAN,Panama,1946,0,0,0,0,0,0,0,0,0
150,PAR,Paraguay,1946,0,0,0,0,0,0,0,0,0
135,PER,Peru,1946,0,0,0,0,0,0,0,0,0
840,PHI,Philippines,1946,0,0,0,0,0,0,0,0,0
290,POL,Poland,1946,0,0,0,0,0,0,0,0,0
235,POR,Portugal,1946,0,1,0,0,0,0,0,0,0
360,RUM,Romania,1946,0,0,0,0,0,0,0,0,0
560,SAF,South Africa,1946,0,0,0,0,0,0,0,0,0
92,SAL,El Salvador,1946,0,0,0,0,0,0,0,0,0
670,SAU,Saudi Arabia,1946,0,0,0,0,0,0,0,0,0
230,SPN,Spain,1946,0,0,0,0,0,0,0,0,0
380,SWD,Sweden,1946,0,0,0,0,0,0,0,0,0
225,SWZ,Switzerland,1946,0,0,0,0,0,0,0,0,0
652,SYR,Syria,1946,0,0,0,0,0,0,0,0,0
800,THI,Thailand,1946,0,0,0,0,0,0,0,0,0
640,TUR,Turkey,1946,0,0,0,0,0,0,0,0,0
200,UKG,United Kingdom,1946,0,0,0,0,0,0,0,0,0
165,URU,Uruguay,1946,0,0,1,0,0,0,0,0,0
2,USA,United States,1946,0,0,0,0,0,0,0,0,0
364,USR,USSR,1946,0,0,0,0,0,0,0,0,0
101,VEN,Venezuela,1946,0,0,0,0,0,0,0,0,0
678,YAR,Yemen North,1946,0,0,0,0,0,0,0,0,0
345,YUG,Yugoslavia,1946,0,0,0,0,0,0,0,0,0
700,AFG,Afghanistan,1947,0,0,0,0,0,0,0,0,0
339,ALB,Albania,1947,0,0,0,0,0,0,0,0,0
160,ARG,Argentina,1947,0,0,0,0,0,0,0,0,0
900,AUL,Australia,1947,0,0,0,0,0,0,0,0,0
305,AUS,Austria,1947,0,0,0,0,0,0,0,0,0
211,BEL,Belgium,1947,0,0,0,0,0,0,0,0,0
760,BHU,Bhutan,1947,0,0,0,0,0,0,0,0,0
145,BOL,Bolivia,1947,0,0,0,0,0,0,0,0,0
140,BRA,Brazil,1947,0,0,0,0,0,0,0,0,0
355,BUL,Bulgaria,1947,0,0,0,1,0,0,0,0,0
20,CAN,Canada,1947,0,0,0,0,0,0,0,0,0
155,CHL,Chile,1947,0,0,0,0,0,0,0,0,0
710,CHN,China,1947,0,0,0,0,0,0,0,0,0
100,COL,Colombia,1947,0,0,0,0,0,0,0,0,0
94,COS,Costa Rica,1947,0,0,0,0,0,0,0,0,0
40,CUB,Cuba,1947,0,0,0,0,0,0,0,0,0
315,CZE,Czechoslovakia,1947,0,0,0,1,0,0,0,0,0
390,DEN,Denmark,1947,0,0,0,0,0,0,0,0,0
42,DOM,Dominican Republic,1947,0,0,0,0,0,0,0,0,0
130,ECU,Ecuador,1947,0,1,0,0,0,0,0,0,0
651,EGY,Egypt,1947,0,0,0,0,0,0,0,0,0
530,ETH,Ethiopia,1947,0,0,0,0,0,0,0,0,0
375,FIN,Finland,1947,0,0,0,0,0,0,0,0,0
220,FRN,France,1947,0,0,1,0,0,0,0,0,0
265,GDR,Germany East,1947,0,0,0,0,0,0,0,0,0
260,GFR,Germany West,1947,0,0,0,0,0,0,0,0,0
350,GRC,Greece,1947,0,0,0,0,0,0,0,0,0
90,GUA,Guatemala,1947,0,0,0,0,0,0,0,0,0
41,HAI,Haiti,1947,0,0,0,0,0,0,0,0,0
91,HON,Honduras,1947,0,0,0,0,0,0,0,0,0
310,HUN,Hungary,1947,0,0,0,1,0,0,0,0,0
850,INS,Indonesia,1947,0,0,0,0,0,0,0,0,0
205,IRE,Ireland,1947,0,0,0,0,0,0,0,0,0
630,IRN,Iran,1947,0,0,0,0,0,0,0,0,0
645,IRQ,Iraq,1947,0,0,0,0,0,0,0,0,0
325,ITA,Italy,1947,0,0,1,0,0,0,0,0,0
663,JOR,Jordan,1947,0,0,0,0,0,0,0,0,0
740,JPN,Japan,1947,0,0,0,0,0,0,0,0,0
450,LBR,Liberia,1947,0,0,0,0,0,0,0,0,0
660,LEB,Lebanon,1947,0,0,0,0,0,0,0,0,0
212,LUX,Luxembourg,1947,0,0,0,0,0,0,0,0,0
70,MEX,Mexico,1947,0,0,0,0,0,0,0,0,0
712,MON,Mongolia,1947,0,0,0,0,0,0,0,0,0
790,NEP,Nepal,1947,0,0,0,0,0,0,0,0,0
920,NEW,New Zealand,1947,0,0,0,0,0,0,0,0,0
93,NIC,Nicaragua,1947,1,0,0,0,0,0,0,0,0
385,NOR,Norway,1947,0,0,0,0,0,0,0,0,0
210,NTH,Netherlands,1947,0,0,0,0,0,0,0,0,0
698,OMA,Oman,1947,0,0,0,0,0,0,0,0,0
95,PAN,Panama,1947,0,0,0,0,0,0,0,0,0
150,PAR,Paraguay,1947,0,0,0,0,0,0,0,0,0
135,PER,Peru,1947,0,0,0,0,0,0,0,0,0
840,PHI,Philippines,1947,0,0,0,0,0,0,0,0,0
769,PKS,Pakistan,1947,0,0,0,0,0,0,0,0,0
290,POL,Poland,1947,0,0,0,0,0,0,0,0,0
235,POR,Portugal,1947,0,0,0,0,0,0,0,0,0
360,RUM,Romania,1947,0,0,0,1,0,0,0,0,0
560,SAF,South Africa,1947,0,0,0,0,0,0,0,0,0
92,SAL,El Salvador,1947,0,0,0,0,0,0,0,0,0
670,SAU,Saudi Arabia,1947,0,0,0,0,0,0,0,0,0
230,SPN,Spain,1947,0,0,0,0,0,0,0,0,0
380,SWD,Sweden,1947,0,0,0,0,0,0,0,0,0
225,SWZ,Switzerland,1947,0,0,0,0,0,0,0,0,0
652,SYR,Syria,1947,0,0,0,0,0,0,0,0,0
800,THI,Thailand,1947,1,0,0,1,0,0,0,0,0
640,TUR,Turkey,1947,0,0,0,0,0,0,0,0,0
200,UKG,United Kingdom,1947,0,0,0,0,0,0,0,0,0
165,URU,Uruguay,1947,0,0,0,0,0,0,0,0,0
2,USA,United States,1947,0,0,0,0,0,0,0,0,0
364,USR,USSR,1947,0,0,0,0,0,0,0,0,0
101,VEN,Venezuela,1947,0,0,0,0,0,0,0,0,0
678,YAR,Yemen North,1947,0,0,0,0,0,0,0,0,0
345,YUG,Yugoslavia,1947,0,0,0,0,0,0,0,0,0
