country,year,Control_of_Corruption,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Regulatory_Quality,cbi_index,Current_Account_Balance,External_Debt_to_GNI,Debt_Service_to_Exports,GDP_Growth,GDP_per_Capita,Inflation_CPI,Terms_of_Trade,Treatment_Group_x,Criteria_1_x,Criteria_2_x,cpiapadm,cpiamacr,cpiafinq,cpiadebt,realIR,democracy_index,broad_money_to_gdp,Primary_fiscal_balance,CPIScore,EconomicFreedomIndex,Political_Stability,Contract_Enforcement_Score,Polity2_Score,Former_HIPC
AFG,2000,-1.27172422409058,-2.17394614219666,-1.78066074848175,-2.03141713142395,-2.0802526473999,,,,,,308.318269746638,,61.2210574436,1,1,0,,,,,,,,,,,-2.43896889686584,,-7.0,1
AFG,2001,-1.26143062114716,-1.880816578865055,-1.72706699371338,-1.7324190735816951,-1.945899188518525,,,,,-9.4319740700862,277.118051443941,,72.3638166443,1,1,0,,,,,,,,,,,,,,1
AFG,2002,-1.25113701820374,-1.58768701553345,-1.67347323894501,-1.43342101573944,-1.81154572963715,,,,,28.6000011706788,338.139973643387,,71.3206070093,1,1,0,,,,,,,,,,,-2.03503370285034,,,1
AFG,2003,-1.34417974948883,-1.17576801776886,-1.5582937002182,-1.1775711774826,-1.46310782432556,"0,81",,,,8.83227780288267,346.071627096223,,67.3243040412,1,1,0,,,,,,,,,,,-2.19837236404419,,,1
AFG,2004,-1.35064733028412,-0.945146262645721,-1.6939252614975,-1.20303392410278,-1.51154899597168,"0,81",,,,1.41411799339429,338.637273888197,,74.7301836476,1,1,0,,,,,,,,,,,-2.29568219184875,,,1
AFG,2005,-1.44725239276886,-1.2288156747818,-1.66296553611755,-1.12542963027954,-1.64344024658203,"0,81",,,,11.2297148272859,363.640141436773,12.6862687216715,76.0945877851,1,1,0,,,,,,,,,,,-2.06750988960266,,,1
AFG,2006,-1.44629228115082,-1.47365152835846,-1.87900483608246,-1.11029398441315,-1.68946862220764,"0,81",,13.7928583731895,,5.35740324748592,367.75831169358,6.78459655001655,81.220683738,1,1,0,2.0,4.0,3.0,3.0,10.04689710300387,3.06,23.34386452665268,,,,-2.21913456916809,,,1
AFG,2007,-1.61325109004974,-1.44011056423187,-1.85256004333496,-1.05765390396118,-1.70887231826782,"0,81",,20.4806758495246,,13.8263195471281,410.757728879097,8.68057078513406,83.4993428832,1,1,0,2.0,3.5,3.0,3.0,-3.585111110259366,3.04,23.83366442148404,,,,-2.4133734703064,,,1
AFG,2008,-1.67209553718567,-1.52779507637024,-1.90330755710602,-1.16890180110931,-1.60716688632965,"0,81",-2.35799044700136,21.2121323521857,0.402819292924976,3.92498381999467,417.647282647498,26.4186641547444,84.6998677391,1,1,0,2.0,3.5,3.0,3.0,12.55796014380185,3.02,29.51228079930085,,,,-2.69136095046997,,,1
AFG,2009,-1.55229878425598,-1.50775218009949,-1.87611877918243,-1.37549519538879,-1.66450762748718,"0,81",2.23601941932175,20.0367248536922,0.487686262693032,21.3905283926492,488.830652491949,-6.81116108898996,90.0872451862,1,1,0,2.0,3.5,3.5,3.5,17.54292892860937,2.75,33.06095695782453,,,,-2.71142148971558,,,1
