ccode,scode,country,year,scoup1,atcoup2,pcoup3,apcoup4,agcoup,foroutex,reboutex,assassex,resignex,treatment,external_debt_to_gni
700,AFG,Afghanistan,1990,0,1,0,0,0,0,0,0,0,1,
339,ALB,Albania,1990,0,0,0,0,0,0,0,0,0,1,
615,ALG,Algeria,1990,0,0,0,0,0,0,0,0,0,1,
540,ANG,Angola,1990,0,0,0,0,0,0,0,0,0,1,
160,ARG,Argentina,1990,0,1,0,0,0,0,0,0,0,1,46.22824510145276
900,AUL,Australia,1990,0,0,0,0,0,0,0,0,0,0,
305,AUS,Austria,1990,0,0,0,0,0,0,0,0,0,0,
692,BAH,Bahrain,1990,0,0,0,0,0,0,0,0,0,1,
211,BEL,Belgium,1990,0,0,0,0,0,0,0,0,0,0,
434,BEN,Benin,1990,0,0,0,0,0,0,0,0,0,1,57.82463518090124
439,BFO,Burkina Faso,1990,0,0,0,0,0,0,0,0,0,1,
760,BHU,Bhutan,1990,0,0,0,0,0,0,0,0,0,0,
771,BNG,Bangladesh,1990,0,0,0,0,0,0,0,0,1,1,
145,BOL,Bolivia,1990,0,0,0,0,0,0,0,0,0,1,94.60905977178334
571,BOT,Botswana,1990,0,0,0,0,0,0,0,0,0,0,
140,BRA,Brazil,1990,0,0,0,0,0,0,0,0,0,0,26.58072306194311
516,BUI,Burundi,1990,0,0,0,0,0,0,0,0,0,1,
355,BUL,Bulgaria,1990,0,0,0,0,0,0,0,0,0,0,
811,CAM,Cambodia,1990,0,0,0,0,0,0,0,0,0,1,
20,CAN,Canada,1990,0,0,0,0,0,0,0,0,0,0,
471,CAO,Cameroon,1990,0,0,0,0,0,0,0,0,0,1,
402,CAP,Cape Verde,1990,0,0,0,0,0,0,0,0,0,0,
482,CEN,Central African Republic,1990,0,0,0,0,0,0,0,0,0,1,
483,CHA,Chad,1990,1,0,0,0,0,0,0,0,0,1,
155,CHL,Chile,1990,0,0,0,0,0,0,0,0,0,0,
710,CHN,China,1990,0,0,0,0,0,0,0,0,0,0,15.28411487363887
100,COL,Colombia,1990,0,0,0,0,0,0,0,0,0,0,38.23346613334105
581,COM,Comoros,1990,0,0,0,0,0,0,0,0,0,1,43.09112310480013
484,CON,Congo Brazzaville,1990,0,0,0,0,0,0,0,0,0,1,
94,COS,Costa Rica,1990,0,0,0,0,0,0,0,0,0,0,
40,CUB,Cuba,1990,0,0,0,0,0,0,0,0,0,0,
352,CYP,Cyprus,1990,0,0,0,0,0,0,0,0,0,0,
315,CZE,Czechoslovakia,1990,0,0,0,0,0,0,0,0,0,0,
390,DEN,Denmark,1990,0,0,0,0,0,0,0,0,0,0,
522,DJI,Djibouti,1990,0,0,0,0,0,0,0,0,0,1,
42,DOM,Dominican Republic,1990,0,0,0,0,0,0,0,0,0,0,66.35177327487625
130,ECU,Ecuador,1990,0,0,0,0,0,0,0,0,0,1,86.69817544157291
651,EGY,Egypt,1990,0,0,0,0,0,0,0,0,0,1,78.84577276747908
411,EQG,Equatorial Guinea,1990,0,0,0,0,0,0,0,0,0,1,
530,ETH,Ethiopia,1990,0,0,0,0,0,0,0,0,0,1,69.6527794653782
375,FIN,Finland,1990,0,0,0,0,0,0,0,0,0,0,
950,FJI,Fiji,1990,0,0,0,0,0,0,0,0,0,1,24.66187020322589
220,FRN,France,1990,0,0,0,0,0,0,0,0,0,0,
481,GAB,Gabon,1990,0,0,0,0,0,0,0,0,0,1,74.63674903677283
420,GAM,Gambia,1990,0,0,0,0,0,0,0,0,0,1,
265,GDR,Germany East,1990,0,0,0,0,0,0,0,0,0,0,
