country,year,Control_of_Corruption,External_Debt_to_GNI,GDP_Growth,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Treatment_Group,Criteria_1,Criteria_2
AFG,2000,-1.27172422409058,,,-2.17394614219666,-1.78066074848175,-2.03141713142395,1,1,0
AFG,2001,,,-9.4319740700862,,,,1,1,0
AFG,2002,-1.25113701820374,,28.6000011706788,-1.58768701553345,-1.67347323894501,-1.43342101573944,1,1,0
AFG,2003,-1.34417974948883,,8.83227780288267,-1.17576801776886,-1.5582937002182,-1.1775711774826,1,1,0
AFG,2004,-1.35064733028412,,1.41411799339429,-0.945146262645721,-1.6939252614975,-1.20303392410278,1,1,0
AFG,2005,-1.44725239276886,,11.2297148272859,-1.2288156747818,-1.66296553611755,-1.12542963027954,1,1,0
AFG,2006,-1.44629228115082,13.7928583731895,5.35740324748592,-1.47365152835846,-1.87900483608246,-1.11029398441315,1,1,0
AFG,2007,-1.61325109004974,20.4806758495246,13.8263195471281,-1.44011056423187,-1.85256004333496,-1.05765390396118,1,1,0
AFG,2008,-1.67209553718567,21.2121323521857,3.92498381999467,-1.52779507637024,-1.90330755710602,-1.16890180110931,1,1,0
AFG,2009,-1.55229878425598,20.0367248536922,21.3905283926492,-1.50775218009949,-1.87611877918243,-1.37549519538879,1,1,0
AFG,2010,-1.64539110660553,15.3334973971382,14.3624414710737,-1.47831559181213,-1.87005805969238,-1.40446734428406,1,1,0
AFG,2011,-1.60047078132629,13.9770517017747,0.426354776777345,-1.47410047054291,-1.9225001335144,-1.33597695827484,1,1,0
AFG,2012,-1.43037283420563,12.9281604362278,12.7522870926697,-1.37553513050079,-1.6518931388855,-1.26743006706238,1,1,0
AFG,2013,-1.44596064090729,12.8048363659593,5.60074465863221,-1.40146291255951,-1.60975515842438,-1.24013912677765,1,1,0
AFG,2014,-1.36493408679962,12.3049882693651,2.72454336219565,-1.36164617538452,-1.4377019405365,-1.13552260398865,1,1,0
AFG,2015,-1.35471308231354,13.4908301094464,1.45131466066431,-1.39739489555359,-1.51620066165924,-1.11762809753418,1,1,0
AFG,2016,-1.54022777080536,14.1470450360055,2.26031420279821,-1.29146802425385,-1.52253365516663,-1.03783690929413,1,1,0
AFG,2017,-1.53007459640503,14.5133427404056,2.6470032027451,-1.38659679889679,-1.58117640018463,-0.990954160690308,1,1,0
AFG,2018,-1.50287592411041,14.6424246657516,1.18922812944517,-1.50175786018372,-1.68912386894226,-1.00768673419952,1,1,0
AFG,2019,-1.41931009292603,13.9496520351375,3.91160341625552,-1.5191125869751,-1.74210047721863,-1.00671291351318,1,1,0
AFG,2020,-1.49336087703705,15.1208585304773,-2.35110067203466,-1.61153948307037,-1.83140671253204,-1.07826685905457,1,1,0
